xflr5 v6.30
NACA 0010
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.375    -0.016     0.791     1.008
 0.9975    0.266    -0.017     0.857     1.008
 0.9929    0.219    -0.018     0.884     1.009
 0.9871    0.183    -0.019     0.904     1.009
 0.9802    0.156    -0.020     0.919     1.010
 0.9725    0.134    -0.021     0.931     1.011
 0.9641    0.114    -0.023     0.941     1.011
 0.9550    0.097    -0.025     0.950     1.012
 0.9454    0.082    -0.027     0.958     1.013
 0.9352    0.068    -0.029     0.965     1.014
 0.9246    0.055    -0.031     0.972     1.016
 0.9136    0.043    -0.034     0.978     1.017
 0.9022    0.032    -0.037     0.984     1.018
 0.8904    0.022    -0.039     0.989     1.020
 0.8783    0.012    -0.043     0.994     1.021
 0.8660    0.002    -0.046     0.999     1.023
 0.8533   -0.007    -0.049     1.003     1.024
 0.8404   -0.015    -0.053     1.008     1.026
 0.8273   -0.024    -0.057     1.012     1.028
 0.8140   -0.032    -0.061     1.016     1.030
 0.8005   -0.040    -0.065     1.020     1.032
 0.7868   -0.047    -0.070     1.023     1.034
 0.7730   -0.055    -0.075     1.027     1.037
 0.7591   -0.062    -0.080     1.030     1.039
 0.7450   -0.069    -0.085     1.034     1.042
 0.7308   -0.076    -0.090     1.037     1.044
 0.7165   -0.083    -0.096     1.041     1.047
 0.7022   -0.090    -0.101     1.044     1.049
 0.6878   -0.097    -0.107     1.047     1.052
 0.6733   -0.104    -0.113     1.051     1.055
 0.6588   -0.110    -0.119     1.054     1.058
 0.6442   -0.117    -0.125     1.057     1.061
 0.6297   -0.124    -0.131     1.060     1.063
 0.6151   -0.130    -0.137     1.063     1.066
 0.6005   -0.137    -0.144     1.066     1.069
 0.5860   -0.144    -0.150     1.069     1.072
 0.5714   -0.150    -0.156     1.073     1.075
 0.5569   -0.157    -0.163     1.076     1.078
 0.5424   -0.164    -0.169     1.079     1.081
 0.5280   -0.170    -0.175     1.082     1.084
 0.5136   -0.177    -0.182     1.085     1.087
 0.4993   -0.183    -0.188     1.088     1.090
 0.4850   -0.190    -0.195     1.091     1.093
 0.4709   -0.197    -0.201     1.094     1.096
 0.4568   -0.203    -0.208     1.097     1.099
 0.4428   -0.210    -0.214     1.100     1.102
 0.4289   -0.216    -0.221     1.103     1.105
 0.4152   -0.223    -0.227     1.106     1.108
 0.4015   -0.229    -0.233     1.109     1.111
 0.3880   -0.236    -0.240     1.112     1.113
 0.3746   -0.242    -0.246     1.115     1.116
 0.3613   -0.249    -0.252     1.117     1.119
 0.3482   -0.255    -0.258     1.120     1.122
 0.3353   -0.261    -0.264     1.123     1.124
 0.3225   -0.267    -0.270     1.126     1.127
 0.3099   -0.273    -0.276     1.128     1.130
 0.2974   -0.279    -0.282     1.131     1.132
 0.2851   -0.284    -0.287     1.133     1.135
 0.2730   -0.290    -0.293     1.136     1.137
 0.2611   -0.295    -0.298     1.138     1.139
 0.2494   -0.300    -0.303     1.140     1.141
 0.2379   -0.305    -0.308     1.143     1.144
 0.2266   -0.310    -0.312     1.145     1.146
 0.2155   -0.315    -0.317     1.147     1.148
 0.2046   -0.319    -0.321     1.148     1.149
 0.1939   -0.323    -0.325     1.150     1.151
 0.1835   -0.327    -0.329     1.152     1.153
 0.1733   -0.330    -0.332     1.153     1.154
