xflr5 v6.30
NACA 0010
Alpha =   0.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Bottom Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.00019   2.22951   0.22739   0.02641  0.00173  0.00000   0.00028   0.00012   0.07170
 0.00076   2.24973   0.43436   0.04583  0.00580  0.00000   0.00030   0.00013   0.07219
 0.00170   2.26214   0.60589   0.05690  0.01014  0.00000   0.00033   0.00015   0.07250
 0.00302   2.28926   0.74106   0.05963  0.01326  0.00000   0.00038   0.00016   0.07314
 0.00470   2.31200   0.84319   0.05792  0.01492  0.00000   0.00043   0.00019   0.07367
 0.00675   2.33659   0.91958   0.05377  0.01541  0.00000   0.00050   0.00021   0.07424
 0.00915   2.35957   0.97644   0.04890  0.01518  0.00000   0.00057   0.00024   0.07476
 0.01191   2.38098   1.01901   0.04407  0.01455  0.00000   0.00064   0.00027   0.07523
 0.01502   2.40059   1.05114   0.03964  0.01375  0.00000   0.00072   0.00030   0.07566
 0.01847   2.41841   1.07564   0.03571  0.01289  0.00000   0.00080   0.00033   0.07604
 0.02227   2.43450   1.09451   0.03229  0.01205  0.00000   0.00089   0.00037   0.07638
 0.02641   2.44902   1.10918   0.02933  0.01125  0.00000   0.00098   0.00040   0.07668
 0.03088   2.46213   1.12068   0.02677  0.01052  0.00000   0.00107   0.00043   0.07696
 0.03568   2.47399   1.12974   0.02455  0.00984  0.00000   0.00116   0.00047   0.07720
 0.04080   2.48478   1.13692   0.02262  0.00923  0.00000   0.00125   0.00050   0.07742
 0.04625   2.49464   1.14262   0.02093  0.00868  0.00000   0.00135   0.00054   0.07762
 0.05201   2.50373   1.14714   0.01944  0.00817  0.00000   0.00144   0.00058   0.07780
 0.05809   2.51216   1.15071   0.01813  0.00771  0.00000   0.00154   0.00061   0.07797
 0.06447   2.52006   1.15349   0.01695  0.00730  0.00000   0.00163   0.00065   0.07813
 0.07116   2.52753   1.15563   0.01591  0.00692  0.00000   0.00173   0.00068   0.07827
 0.07814   2.53466   1.15723   0.01496  0.00657  0.00000   0.00183   0.00072   0.07841
 0.08542   2.54153   1.15837   0.01411  0.00625  0.00000   0.00193   0.00076   0.07855
 0.09299   2.54822   1.15911   0.01333  0.00595  0.00000   0.00203   0.00079   0.07868
 0.10084   2.55479   1.15952   0.01261  0.00568  0.00000   0.00213   0.00083   0.07881
 0.10897   2.56129   1.15962   0.01196  0.00543  0.00000   0.00223   0.00087   0.07893
 0.11738   2.56778   1.15945   0.01135  0.00519  0.00000   0.00233   0.00091   0.07906
 0.12605   2.57429   1.15904   0.01079  0.00497  0.00000   0.00243   0.00094   0.07918
 0.13499   2.58087   1.15842   0.01027  0.00477  0.00000   0.00253   0.00098   0.07931
 0.14420   2.58755   1.15760   0.00978  0.00457  0.00000   0.00264   0.00102   0.07943
 0.15365   2.59437   1.15660   0.00933  0.00439  0.00000   0.00274   0.00106   0.07956
 0.16336   2.60134   1.15543   0.00890  0.00422  0.00000   0.00285   0.00110   0.07969
 0.17331   2.60849   1.15412   0.00849  0.00406  0.00000   0.00296   0.00113   0.07983
 0.18350   2.61585   1.15266   0.00811  0.00391  0.00000   0.00307   0.00117   0.07996
 0.19393   2.62344   1.15106   0.00775  0.00377  0.00000   0.00318   0.00121   0.08010
 0.20458   2.63126   1.14935   0.00740  0.00363  0.00000   0.00329   0.00125   0.08025
 0.21546   2.63935   1.14752   0.00708  0.00350  0.00000   0.00340   0.00129   0.08040
 0.22656   2.64771   1.14558   0.00677  0.00338  0.00000   0.00352   0.00133   0.08055
 0.23787   2.65635   1.14354   0.00647  0.00326  0.00000   0.00364   0.00137   0.08070
 0.24938   2.66530   1.14141   0.00619  0.00315  0.00000   0.00375   0.00141   0.08087
 0.26110   2.67456   1.13919   0.00592  0.00304  0.00000   0.00388   0.00145   0.08103
 0.27301   2.68415   1.13688   0.00566  0.00294  0.00000   0.00400   0.00149   0.08120
 0.28511   2.69407   1.13451   0.00541  0.00284  0.00000   0.00412   0.00153   0.08138
 0.29739   2.70435   1.13206   0.00517  0.00275  0.00000   0.00425   0.00157   0.08156
 0.30986   2.71499   1.12955   0.00494  0.00266  0.00000   0.00438   0.00161   0.08174
 0.32249   2.72600   1.12698   0.00472  0.00258  0.00000   0.00451   0.00165   0.08193
 0.33529   2.73742   1.12435   0.00451  0.00250  0.00000   0.00464   0.00170   0.08213
 0.34824   2.74924   1.12168   0.00431  0.00242  0.00000   0.00478   0.00174   0.08233
 0.36135   2.76149   1.11896   0.00411  0.00235  0.00180   0.00492   0.00178   0.08254
 0.37460   2.77419   1.11619   0.00392  0.00227  0.00830   0.00506   0.00182   0.08275
 0.38799   2.78737   1.11340   0.00374  0.00221  0.02200   0.00520   0.00187   0.08297
 0.40152   2.80104   1.11056   0.00356  0.00214  0.04422   0.00535   0.00191   0.08320
 0.41517   2.81526   1.10770   0.00339  0.00208  0.07487   0.00549   0.00195   0.08343
 0.42893   2.83004   1.10482   0.00323  0.00202  0.11243   0.00565   0.00200   0.08367
 0.44281   2.84543   1.10191   0.00307  0.00196  0.15415   0.00580   0.00204   0.08392
 0.45679   2.86147   1.09898   0.00291  0.00190  0.19791   0.00596   0.00208   0.08418
 0.47087   2.87823   1.09604   0.00276  0.00185  0.24322   0.00612   0.00213   0.08444
 0.48503   2.89576   1.09309   0.00261  0.00180  0.29014   0.00629   0.00217   0.08472
 0.49927   2.91413   1.09013   0.00247  0.00175  0.33875   0.00646   0.00222   0.08500
 0.51359   2.93341   1.08716   0.00233  0.00170  0.38911   0.00663   0.00226   0.08530
 0.52797   2.95371   1.08418   0.00220  0.00166  0.44129   0.00681   0.00230   0.08561
 0.54240   2.97511   1.08120   0.00207  0.00161  0.49537   0.00699   0.00235   0.08593
 0.55689   2.99772   1.07823   0.00194  0.00157  0.55143   0.00718   0.00239   0.08626
 0.57141   3.02167   1.07526   0.00181  0.00153  0.60953   0.00737   0.00244   0.08661
 0.58595   3.04709   1.07230   0.00168  0.00149  0.66978   0.00757   0.00248   0.08698
 0.60052   3.07413   1.06935   0.00156  0.00145  0.73225   0.00778   0.00253   0.08736
 0.61510   3.10294   1.06641   0.00144  0.00142  0.79703   0.00799   0.00258   0.08776
 0.62968   3.13370   1.06350   0.00132  0.00138  0.86421   0.00821   0.00262   0.08819
 0.64425   3.16658   1.06061   0.00121  0.00135  0.93387   0.00844   0.00267   0.08863
 0.65879   3.20177   1.05774   0.00109  0.00132  1.00609   0.00868   0.00271   0.08910
 0.67331   3.23947   1.05491   0.00098  0.00129  1.08095   0.00893   0.00276   0.08960
 0.68778   3.27987   1.05213   0.00087  0.00126  1.15850   0.00919   0.00280   0.09011
 0.70220   3.32316   1.04939   0.00076  0.00123  1.23879   0.00946   0.00285   0.09066
 0.71655   3.36954   1.04670   0.00066  0.00121  1.32184   0.00974   0.00289   0.09123
 0.73082   3.41917   1.04408   0.00056  0.00118  1.40767   0.01003   0.00293   0.09182
 0.74500   3.47220   1.04153   0.00046  0.00116  1.49625   0.01033   0.00298   0.09244
 0.75907   3.52874   1.03906   0.00036  0.00113  1.58752   0.01065   0.00302   0.09308
 0.77303   3.58886   1.03667   0.00028  0.00111  1.68140   0.01097   0.00306   0.09375
 0.78685   3.65257   1.03437   0.00019  0.00109  1.77773   0.01132   0.00310   0.09444
 0.80051   3.71983   1.03217   0.00011  0.00108  1.87637   0.01167   0.00314   0.09514
 0.81401   3.79051   1.03006   0.00004  0.00106  1.97707   0.01203   0.00317   0.09586
