xflr5 v6.30
NACA 0010
Alpha =   6.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Top Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.00675   2.22951   0.08919   0.00675  0.00017  0.00000   0.00042   0.00019   0.07170
 0.00470   2.20267   0.25771   0.02407  0.00175  0.00000   0.00035   0.00016   0.07102
 0.00302   2.21977   0.46197   0.04686  0.00618  0.00000   0.00032   0.00014   0.07146
 0.00170   2.19837   0.69483   0.07960  0.01558  0.00000   0.00029   0.00013   0.07092
 0.00076   2.21132   0.95242   0.11524  0.03118  0.00000   0.00027   0.00012   0.07124
 0.00019   2.22047   1.21284   0.14950  0.05181  0.00000   0.00026   0.00012   0.07147
 0.00000   2.24741   1.45253   0.17002  0.07186  0.00000   0.00027   0.00012   0.07214
 0.00019   2.27929   1.64856   0.17443  0.08563  0.00000   0.00029   0.00013   0.07291
 0.00076   2.33844   1.78363   0.15713  0.08748  0.00000   0.00033   0.00014   0.07428
 0.00170   2.41547   1.85715   0.12808  0.07959  0.00000   0.00039   0.00016   0.07598
 0.00302   2.50819   1.88298   0.09723  0.06743  0.00000   0.00047   0.00019   0.07789
 0.00470   2.61616   1.87753   0.07019  0.05513  0.00000   0.00058   0.00022   0.07997
 0.00675   2.74047   1.85406   0.04862  0.04460  0.00000   0.00071   0.00026   0.08218
 0.00915   2.88399   1.82163   0.03222  0.03624  0.00000   0.00086   0.00030   0.08453
 0.01191   3.05135   1.78598   0.02006  0.02983  0.00000   0.00105   0.00034   0.08704
 0.01502   3.24865   1.75061   0.01121  0.02499  0.00000   0.00127   0.00039   0.08971
 0.01847   3.48255   1.71764   0.00495  0.02135  0.00000   0.00153   0.00044   0.09256
 0.02227   3.75848   1.68822   0.00074  0.01860  0.07269   0.00182   0.00049   0.09554
 0.02641   4.07775   1.66272  -0.00181  0.01649  0.25486   0.00216   0.00053   0.09854
 0.03088   4.43533   1.64087  -0.00308  0.01482  0.50933   0.00254   0.00057   0.10143
 0.03568   4.82800   1.62242  -0.00349  0.01347  0.78984   0.00297   0.00062   0.10413
 0.04080   5.25357   1.60708  -0.00343  0.01236  1.09294   0.00344   0.00065   0.10664
 0.04625   5.70635   1.59434  -0.00321  0.01144  1.41571   0.00394   0.00069   0.10893
 0.05201   6.17941   1.58369  -0.00295  0.01064  1.75553   0.00448   0.00072   0.11100
 0.05809   6.66546   1.57469  -0.00273  0.00995  2.11006   0.00504   0.00076   0.11286
 0.06447   7.15721   1.56700  -0.00256  0.00934  2.47724   0.00563   0.00079   0.11452
 0.07116   7.64765   1.56032  -0.00241  0.00880  2.85522   0.00623   0.00082   0.11600
 0.07814   8.13001   1.55446  -0.00229  0.00832  3.24240   0.00685   0.00084   0.11730
 0.08542   8.59770   1.54924  -0.00219  0.00789  3.63736   0.00747   0.00087   0.11846
 0.09299   9.04421   1.54454  -0.00210  0.00751  4.03885   0.00809   0.00089   0.11947
 0.10084   9.46307   1.54024  -0.00202  0.00717  4.44576   0.00870   0.00092   0.12036
 0.10897   9.84773   1.53626  -0.00196  0.00687  4.85714   0.00930   0.00094   0.12112
 0.11738  10.19153   1.53254  -0.00189  0.00659  5.27212   0.00987   0.00097   0.12176
 0.12605  10.48758   1.52901  -0.00184  0.00635  5.68995   0.01041   0.00099   0.12229
 0.13499  10.72863   1.52562  -0.00178  0.00613  6.10994   0.01092   0.00102   0.12270
 0.14420  10.90686   1.52232  -0.00173  0.00592  6.53149   0.01137   0.00104   0.12300
 0.15365  11.01358   1.51907  -0.00168  0.00574  6.95401   0.01177   0.00107   0.12318
 0.16336  11.03869   1.51584  -0.00164  0.00557  7.37695   0.01209   0.00109   0.12322
 0.17331  10.96970   1.51256  -0.00160  0.00542  7.79971   0.01232   0.00112   0.12311
 0.18350  10.78983   1.50918  -0.00156  0.00529  8.22161   0.01243   0.00115   0.12281
 0.19393  10.47284   1.50562  -0.00152  0.00517  8.64170   0.01239   0.00118   0.12226
 0.20458   9.54124   1.49582  -0.00049  0.08727  0.14447   0.01218   0.00128   0.11871
 0.21546   6.56656   1.44432  -0.00045  0.06568  0.13646   0.01191   0.00181   0.11030
 0.22656   4.87845   1.39683  -0.00034  0.05061  0.12994   0.01145   0.00235   0.10162
 0.23787   3.78927   1.35286   0.00006  0.03919  0.12401   0.01089   0.00287   0.09241
 0.24938   3.12066   1.31944   0.00134  0.03091  0.11802   0.01028   0.00330   0.08440
