xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   3.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.376     0.059     0.790     0.970
 0.9975    0.264     0.055     0.858     0.972
 0.9929    0.214     0.049     0.886     0.975
 0.9871    0.176     0.040     0.908     0.980
 0.9802    0.147     0.030     0.924     0.985
 0.9725    0.122     0.017     0.937     0.991
 0.9641    0.100     0.003     0.949     0.999
 0.9550    0.081    -0.014     0.959     1.007
 0.9454    0.063    -0.033     0.968     1.016
 0.9352    0.047    -0.056     0.976     1.028
 0.9246    0.031    -0.082     0.984     1.040
 0.9136    0.017    -0.110     0.991     1.054
 0.9022    0.003    -0.140     0.998     1.068
 0.8904   -0.009    -0.172     1.005     1.082
 0.8783   -0.022    -0.206     1.011     1.098
 0.8660   -0.034    -0.231     1.017     1.110
 0.8533   -0.045    -0.233     1.022     1.111
 0.8404   -0.056    -0.235     1.028     1.111
 0.8273   -0.067    -0.237     1.033     1.112
 0.8140   -0.078    -0.239     1.038     1.113
 0.8005   -0.088    -0.241     1.043     1.114
 0.7868   -0.099    -0.243     1.048     1.115
 0.7730   -0.109    -0.245     1.053     1.116
 0.7591   -0.119    -0.247     1.058     1.117
 0.7450   -0.129    -0.249     1.062     1.117
 0.7308   -0.139    -0.251     1.067     1.118
 0.7165   -0.149    -0.253     1.072     1.119
 0.7022   -0.158    -0.256     1.076     1.121
 0.6878   -0.168    -0.258     1.081     1.122
 0.6733   -0.178    -0.261     1.085     1.123
 0.6588   -0.188    -0.264     1.090     1.124
 0.6442   -0.198    -0.266     1.094     1.125
 0.6297   -0.208    -0.270     1.099     1.127
 0.6151   -0.218    -0.273     1.103     1.128
 0.6005   -0.228    -0.276     1.108     1.130
 0.5860   -0.238    -0.280     1.113     1.132
 0.5714   -0.248    -0.284     1.117     1.133
 0.5569   -0.258    -0.289     1.122     1.135
 0.5424   -0.269    -0.294     1.126     1.137
 0.5280   -0.279    -0.299     1.131     1.140
 0.5136   -0.290    -0.304     1.136     1.142
 0.4993   -0.301    -0.310     1.141     1.145
 0.4850   -0.312    -0.316     1.145     1.147
 0.4709   -0.323    -0.323     1.150     1.150
 0.4568   -0.334    -0.331     1.155     1.154
 0.4428   -0.345    -0.338     1.160     1.157
 0.4289   -0.357    -0.347     1.165     1.160
 0.4152   -0.368    -0.355     1.170     1.164
 0.4015   -0.380    -0.364     1.175     1.168
 0.3880   -0.392    -0.374     1.180     1.172
 0.3746   -0.404    -0.384     1.185     1.177
 0.3613   -0.416    -0.395     1.190     1.181
 0.3482   -0.428    -0.406     1.195     1.186
 0.3353   -0.440    -0.418     1.200     1.191
 0.3225   -0.453    -0.430     1.205     1.196
 0.3099   -0.465    -0.442     1.211     1.201
 0.2974   -0.478    -0.455     1.216     1.206
 0.2851   -0.491    -0.468     1.221     1.212
 0.2730   -0.504    -0.481     1.226     1.217
 0.2611   -0.518    -0.495     1.232     1.223
 0.2494   -0.531    -0.509     1.237     1.228
 0.2379   -0.545    -0.523     1.243     1.234
 0.2266   -0.558    -0.538     1.248     1.240
 0.2155   -0.573    -0.552     1.254     1.246
 0.2046   -0.587    -0.567     1.260     1.252
 0.1939   -0.601    -0.582     1.265     1.258
 0.1835   -0.616    -0.598     1.271     1.264
 0.1733   -0.631    -0.613     1.277     1.270
 0.1634   -0.647    -0.630     1.283     1.277
 0.1537   -0.663    -0.646     1.290     1.283
 0.1442   -0.679    -0.663     1.296     1.289
 0.1350   -0.696    -0.680     1.302     1.296
 0.1261   -0.713    -0.698     1.309     1.303
 0.1174   -0.731    -0.716     1.316     1.310
 0.1090   -0.750    -0.735     1.323     1.317
 0.1008   -0.769    -0.754     1.330     1.324
 0.0930   -0.789    -0.774     1.338     1.332
 0.0854   -0.810    -0.795     1.345     1.340
 0.0781   -0.832    -0.817     1.354     1.348
 0.0712   -0.855    -0.840     1.362     1.356
 0.0645   -0.880    -0.864     1.371     1.365
 0.0581   -0.905    -0.888     1.380     1.374
 0.0520   -0.932    -0.914     1.390     1.384
 0.0463   -0.961    -0.941     1.400     1.393
 0.0408   -0.991    -0.969     1.411     1.403
 0.0357   -1.023    -0.998     1.422     1.414
 0.0309   -1.056    -1.027     1.434     1.424
 0.0264   -1.090    -1.057     1.446     1.434
 0.0223   -1.124    -1.085     1.457     1.444
 0.0185   -1.157    -1.111     1.469     1.453
 0.0150   -1.186    -1.132     1.478     1.460
 0.0119   -1.207    -1.143     1.486     1.464
 0.0092   -1.215    -1.138     1.488     1.462
 0.0067   -1.197    -1.108     1.482     1.452
 0.0047   -1.138    -1.037     1.462     1.427
 0.0030   -1.016    -0.905     1.420     1.380
 0.0017   -0.807    -0.693     1.344     1.301
 0.0008   -0.496    -0.389     1.223     1.179
 0.0002   -0.100    -0.015     1.049     1.007
 0.0000    0.315     0.373     0.828     0.792
 0.0002    0.659     0.692     0.584     0.555
 0.0008    0.886     0.901     0.338     0.315
 0.0017    0.988     0.991     0.112     0.097
